geoid,tmfi_2020,tmfi_2024,msa_2020,msa_2024,classification
01001020100,122.9,103.8,33860,33860,Real Decline
01001020200,82.4,73.6,33860,33860,Real Decline
01001020300,94.3,102.9,33860,33860,Real Growth
01001020400,116.8,110.9,33860,33860,Real Decline
01001020501,127.7,133.4,33860,33860,Real Growth
01001020502,112,115.1,33860,33860,Stable Economy
01001020503,65.3,154.2,33860,33860,Real Growth
01001020600,126.3,101.3,33860,33860,Real Decline
01001020700,123.6,67,33860,33860,Real Decline
01001020801,84.8,130.4,33860,33860,Real Growth
01001020803,97.4,97.3,33860,33860,Stable Economy
01001020804,79.4,120.3,33860,33860,Real Growth
01001020805,87,150.8,19300,33860,Mixed (real + reclass)
01001020901,55.5,84.7,19300,33860,Mixed (real + reclass)
01001020902,95.9,117.2,19300,33860,Mixed (real + reclass)
01001021000,91.6,84.6,19300,33860,Mixed (real + reclass)
01001021100,95.4,63.2,19300,33860,Mixed (real + reclass)
01003010100,70.3,65.2,19300,19300,Real Decline
01003010200,155.8,63,19300,19300,Real Decline
01003010300,151.5,106.1,19300,19300,Real Decline
01003010400,111.5,62,19300,19300,Real Decline
01003010500,91.6,104.3,19300,19300,Real Growth
01003010600,100,66.6,19300,19300,Real Decline
01003010704,89.3,108.2,19300,19300,Real Growth
01003010706,84.8,158.7,19300,19300,Real Growth
01003010707,89.8,144.8,19300,19300,Real Growth
01003010708,81.4,128.2,19300,19300,Real Growth
01003010709,67.8,130.6,19300,19300,Real Growth
01003010710,116.2,106.5,19300,19300,Real Decline
01003010711,111.7,93.4,19300,19300,Real Decline
01003010800,127.9,99.9,19300,19300,Real Decline
01003010903,113.7,80.9,19300,19300,Real Decline
01003010904,146.1,101.6,19300,19300,Real Decline
01003010906,89.3,61.5,19300,19300,Real Decline
01003010907,102.9,80,19300,19300,Real Decline
01003010908,127.7,85.8,19300,19300,Real Decline
01003011000,79.4,67.3,19300,19300,Real Decline
01003011102,81.8,93.6,19300,19300,Real Growth
01003011103,118.4,118.2,19300,19300,Stable Economy
01003011104,94.3,133,19300,19300,Real Growth
01003011201,78.7,95.7,19300,19300,Real Growth
01003011202,69.4,133.7,19300,19300,Real Growth
