lon,lat,d,st
-86.4942,32.5004,0,AL
-86.5029,32.5071,0,AL
-86.4927,32.4863,1,AL
-86.4817,32.5141,0,AL
-86.5175,32.4969,1,AL
-86.4718,32.4884,2,AL
-86.5017,32.5240,1,AL
-86.5086,32.4769,0,AL
-86.4627,32.5101,0,AL
-86.5270,32.5118,1,AL
-86.4783,32.4717,2,AL
-86.4824,32.5320,1,AL
-86.5297,32.4830,1,AL
-86.4524,32.4926,1,AL
-86.5197,32.5310,1,AL
-86.5001,32.4620,0,AL
-86.4579,32.5262,0,AL
-87.7624,30.5489,0,AL
-87.7709,30.5557,0,AL
-87.7609,30.5348,0,AL
-87.7501,30.5627,0,AL
-87.7852,30.5454,1,AL
-87.7405,30.5369,0,AL
-87.7698,30.5726,1,AL
-87.7765,30.5254,1,AL
-87.7315,30.5586,1,AL
-87.7946,30.5604,1,AL
-87.7468,30.5203,1,AL
-87.7509,30.5806,0,AL
-87.7972,30.5316,0,AL
-87.7215,30.5412,0,AL
-87.7874,30.5795,0,AL
-87.7682,30.5105,0,AL
-87.7269,30.5747,0,AL
-87.8102,30.5506,0,AL
-87.7275,30.5190,0,AL
-87.7647,30.5925,0,AL
-87.7957,30.5146,1,AL
-87.7096,30.5550,2,AL
-87.8071,30.5757,1,AL
-87.7502,30.5021,1,AL
-87.7341,30.5914,1,AL
-87.8177,30.5337,1,AL
-87.7086,30.5275,4,AL
-87.7857,30.5969,4,AL
-87.7832,30.4991,4,AL
-87.7070,30.5740,2,AL
-87.8239,30.5629,4,AL
-87.7274,30.5021,4,AL
-87.7513,30.6047,4,AL
-87.8151,30.5137,4,AL
-87.6949,30.5441,4,AL
-87.8090,30.5924,3,AL
-87.7620,30.4889,2,AL
-87.7149,30.5940,1,AL
-87.8337,30.5432,1,AL
-87.7046,30.5112,2,AL
-87.7755,30.6111,2,AL
-85.3100,31.8440,4,AL
-85.3187,31.8508,4,AL
-85.3086,31.8299,3,AL
-85.2976,31.8578,4,AL
-85.3332,31.8406,4,AL
-85.2878,31.8320,4,AL
-85.3175,31.8677,4,AL
-85.3244,31.8206,0,AL
-85.2788,31.8537,0,AL
-85.3427,31.8555,0,AL
-87.1277,33.0309,4,AL
-87.1365,33.0377,4,AL
-87.1262,33.0168,4,AL
-87.1151,33.0447,4,AL
-87.1511,33.0274,2,AL
-87.1052,33.0189,4,AL
-87.1352,33.0546,4,AL
-87.1422,33.0074,2,AL
-86.5915,33.9552,4,AL
-86.6004,33.9620,2,AL
-86.5900,33.9412,1,AL
-86.5788,33.9690,1,AL
-86.6152,33.9518,2,AL
-86.5687,33.9432,1,AL
-86.5992,33.9789,1,AL
-86.6062,33.9318,1,AL
-86.5595,33.9649,1,AL
-86.6249,33.9667,0,AL
-86.5753,33.9266,1,AL
-86.5795,33.9869,0,AL
-86.6276,33.9379,1,AL
-86.5490,33.9475,2,AL
-86.6174,33.9859,2,AL
-86.5975,33.9168,2,AL
-85.7012,32.1163,4,AL
-85.7099,32.1231,4,AL
-85.6997,32.1022,4,AL
-85.6887,32.1301,4,AL
-85.7244,32.1128,4,AL
-86.6535,31.7735,4,AL
-86.6622,31.7803,4,AL
-86.6521,31.7595,2,AL
-86.6412,31.7873,2,AL
-86.6767,31.7701,4,AL
-86.6314,31.7615,2,AL
-86.6610,31.7972,4,AL
-86.6679,31.7501,4,AL
-85.8194,33.7255,4,AL
-85.8283,33.7322,4,AL
-85.8180,33.7114,4,AL
-85.8068,33.7392,4,AL
-85.8431,33.7220,4,AL
-85.7968,33.7135,4,AL
-85.8271,33.7491,4,AL
-85.8341,33.7020,4,AL
-85.7875,33.7352,4,AL
-85.8528,33.7369,4,AL
-85.8033,33.6968,2,AL
-85.8075,33.7571,4,AL
-85.8555,33.7081,4,AL
-85.7771,33.7177,4,AL
-85.8453,33.7561,4,AL
-85.8254,33.6871,1,AL
-85.7827,33.7512,1,AL
-85.8690,33.7272,2,AL
-85.7833,33.6955,1,AL
-85.8219,33.7690,1,AL
-85.8539,33.6911,1,AL
-85.7648,33.7316,0,AL
-85.8657,33.7522,1,AL
-85.8068,33.6787,1,AL
-85.7902,33.7680,4,AL
-85.8767,33.7103,4,AL
-85.7638,33.7041,4,AL
-85.8436,33.7734,4,AL
-85.8410,33.6757,4,AL
-85.7621,33.7505,4,AL
-85.8831,33.7394,2,AL
-85.7832,33.6786,4,AL
-85.2665,32.8604,0,AL
-85.2753,32.8672,1,AL
-85.2650,32.8464,0,AL
-85.2539,32.8742,0,AL
-85.2899,32.8570,0,AL
-85.2440,32.8484,1,AL
-85.2740,32.8841,0,AL
-85.2810,32.8370,1,AL
-85.2348,32.8701,0,AL
-85.6292,34.1793,2,AL
-85.6381,34.1861,0,AL
-85.6277,34.1652,0,AL
-85.6165,34.1931,1,AL
-85.6530,34.1758,1,AL
-85.6064,34.1673,2,AL
-85.6369,34.2030,2,AL
-85.6439,34.1559,0,AL
-85.5971,34.1890,1,AL
-86.6874,32.8775,4,AL
-86.6962,32.8843,4,AL
-86.6859,32.8635,4,AL
-86.6749,32.8913,4,AL
-86.7109,32.8741,2,AL
-86.6649,32.8655,4,AL
-86.6950,32.9012,4,AL
-86.7019,32.8541,4,AL
-86.6558,32.8872,4,AL
-86.7204,32.8890,4,AL
-86.6714,32.8489,0,AL
-86.6756,32.9092,0,AL
-88.2642,32.0166,4,AL
-88.2729,32.0233,4,AL
-88.2627,32.0025,4,AL
-88.2517,32.0303,4,AL
-88.2874,32.0131,4,AL
-87.8157,31.6857,4,AL
-87.8243,31.6924,2,AL
-87.8142,31.6716,4,AL
-87.8033,31.6994,4,AL
-87.8388,31.6822,4,AL
-87.7935,31.6737,4,AL
-87.8231,31.7093,4,AL
-87.8300,31.6622,1,AL
-87.7845,31.6954,1,AL
-87.8483,31.6971,1,AL
-85.8202,33.2724,1,AL
-85.8290,33.2792,1,AL
-85.8187,33.2583,1,AL
-85.8076,33.2862,1,AL
-85.8438,33.2689,2,AL
-85.4943,33.6298,2,AL
-85.5032,33.6365,2,AL
-85.4928,33.6157,0,AL
-85.4817,33.6435,1,AL
-85.5180,33.6263,1,AL
-85.9047,31.3544,0,AL
-85.9133,31.3612,1,AL
-85.9033,31.3403,1,AL
-85.8924,31.3682,0,AL
-85.9278,31.3509,0,AL
-85.8826,31.3424,0,AL
-85.9122,31.3781,1,AL
-85.9190,31.3310,1,AL
-85.8736,31.3641,1,AL
-85.9372,31.3659,0,AL
-85.8890,31.3258,1,AL
-85.8931,31.3861,1,AL
-85.9398,31.3371,1,AL
-85.8635,31.3467,1,AL
-85.9299,31.3850,1,AL
-85.9105,31.3160,0,AL
-87.6852,34.7234,4,AL
-87.6941,34.7301,4,AL
-87.6836,34.7093,4,AL
-87.6723,34.7371,4,AL
-87.7091,34.7199,4,AL
-87.6622,34.7114,4,AL
-87.6929,34.7470,2,AL
-87.7000,34.6999,4,AL
-87.6528,34.7331,4,AL
-87.7189,34.7348,4,AL
-87.6688,34.6947,4,AL
-87.6731,34.7550,4,AL
-87.7216,34.7060,4,AL
-87.6423,34.7156,4,AL
-87.7113,34.7540,4,AL
-86.9965,31.4187,1,AL
-87.0051,31.4254,0,AL
-86.9950,31.4046,0,AL
-86.9841,31.4324,0,AL
-87.0196,31.4152,0,AL
-86.9744,31.4067,0,AL
-86.1550,32.9759,0,AL
-86.1638,32.9827,0,AL
-86.1536,32.9618,0,AL
-86.1425,32.9897,0,AL
-86.4110,31.2824,1,AL
-86.4196,31.2892,1,AL
-86.4095,31.2684,3,AL
-86.3986,31.2962,2,AL
-86.4340,31.2790,0,AL
-86.3889,31.2704,0,AL
-86.4184,31.3061,0,AL
-86.4252,31.2590,0,AL
-86.3799,31.2922,0,AL
-86.4434,31.2939,0,AL
-86.3953,31.2538,0,AL
-86.3993,31.3141,0,AL
-86.4460,31.2651,1,AL
-86.3697,31.2747,1,AL
-86.2971,31.7435,1,AL
-86.3058,31.7502,1,AL
-86.2956,31.7294,0,AL
-86.2847,31.7572,1,AL
-86.3202,31.7400,1,AL
-86.2749,31.7315,1,AL
-86.3046,31.7671,1,AL
-86.8319,34.1624,0,AL
-86.8408,34.1691,1,AL
-86.8304,34.1483,1,AL
-86.8191,34.1761,1,AL
-86.8557,34.1589,1,AL
-86.8091,34.1504,1,AL
-86.8395,34.1860,0,AL
-86.8466,34.1389,2,AL
-86.7998,34.1721,0,AL
-86.8654,34.1738,1,AL
-86.8157,34.1337,1,AL
-86.8199,34.1940,1,AL
-86.8681,34.1450,2,AL
-86.7893,34.1546,1,AL
-86.8579,34.1930,0,AL
-86.8379,34.1240,2,AL
-86.7949,34.1881,0,AL
-86.8816,34.1641,4,AL
-86.7955,34.1324,4,AL
